revisionId	branch	timestamp	comment	parent1	parent2
7607:881f7c956b8c	infinica_5.1_tmertes	Tue Oct 04 10:59:23 CEST 2016	tmertes	Merge with infinica_5.1	7605:5a1b29f2ade9	7605:5a1b29f2ade9
7606:a0f222106883	infinica_5.1	Tue Oct 04 10:54:42 CEST 2016	tmertes	Merge with infinica_5.1_tmertes	7602:15793093699d	7602:15793093699d
7605:5a1b29f2ade9	infinica_5.1_tmertes	Tue Oct 04 10:25:34 CEST 2016	tmertes	Merge with infinica_5.1	7604:acddcc34239d	7604:acddcc34239d
7604:acddcc34239d	infinica_5.1_tmertes	Tue Oct 04 10:24:14 CEST 2016	tmertes	TD-2310: Improve clipboard performance	null	null
7603:ec6b3abf46c4	infinica_5.1_tmertes	Mon Oct 03 09:51:33 CEST 2016	tmertes	Merge with infinica_5.1	7566:298be413cd5b	7566:298be413cd5b
7602:15793093699d	infinica_5.1	Tue Oct 04 08:37:37 CEST 2016	Matej Kovalik	Merge from infinica_5.1_mkovalik	7597:8f865972c7d6	7597:8f865972c7d6
7601:7ccc84495996	infinica_5.1_mkovalik	Tue Oct 04 08:34:41 CEST 2016	Matej Kovalik	Merge from infinica_5.1	7600:2f5f2b7f8d7f	7600:2f5f2b7f8d7f
7600:2f5f2b7f8d7f	infinica_5.1_mkovalik	Tue Oct 04 08:30:22 CEST 2016	Matej Kovalik	Reasonable logging defaults	7594:65aeb63aa4b0	null
7599:73965a03cacb	infinica_5.1_tthonhofer	Wed Oct 05 15:38:37 CEST 2016	tthonhofer	PE: Passing and persistence of dynamic constants	null	null
7598:51c4f88b20ba	infinica_5.1_tthonhofer	Mon Oct 03 18:08:46 CEST 2016	tthonhofer	PE: Set constants for process execution	7540:6d2ccaab0c64	null
7597:8f865972c7d6	infinica_5.1	Mon Oct 03 17:22:26 CEST 2016	Bogdan Mustiata	Added deferred definition loading for IPs/BBs.	null	null
7596:7060040e8956	infinica_5.1	Mon Oct 03 16:57:09 CEST 2016	Michal Oravec	Merge	7595:f5f1587b680f	7595:f5f1587b680f
7595:f5f1587b680f	infinica_5.1	Mon Oct 03 16:56:12 CEST 2016	Michal Oravec	UM rt update and JMeter tests	7580:a98db8689ced	null
7594:65aeb63aa4b0	infinica_5.1_mkovalik	Mon Oct 03 13:43:15 CEST 2016	Matej Kovalik	Merge from infinica_5.1	7577:e2bfdb6d15ea	7577:e2bfdb6d15ea
7593:fc4062fa3a2f	infinica_5.1	Mon Oct 03 12:39:33 CEST 2016	Matej Kovalik	WP-881 - Selected columns do not reflect table state	null	null
7592:4d7a54bb1bb5	infinica_5.1	Mon Oct 03 11:27:22 CEST 2016	totht	Fix timing issue for copy-paste feature	null	null
7591:5cf87c0cf0f6	infinica_5.1	Mon Oct 03 11:14:04 CEST 2016	Bogdan Mustiata	Merge with infinica_5.0	7589:9fab5ac9dcf5	7589:9fab5ac9dcf5
